,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
324,LWSA3,LSTM,10.2,3,3,1d,15
325,LWSA3,BidirectionalLSTM,5.3,3,3,1d,15
326,LWSA3,convLSTM1D,15.7,3,3,1d,15
327,LWSA3,convLSTM2D,24.9,3,3,1d,15
328,MDIA3,LSTM,25.6,3,3,1d,15
329,MDIA3,BidirectionalLSTM,13.4,3,3,1d,15
330,MDIA3,convLSTM1D,28.2,3,3,1d,15
331,MDIA3,convLSTM2D,26.3,3,3,1d,15
332,MEAL3,LSTM,7.4,3,3,1d,15
333,MEAL3,BidirectionalLSTM,13.9,3,3,1d,15
334,MEAL3,convLSTM1D,38.8,3,3,1d,15
335,MEAL3,convLSTM2D,25.8,3,3,1d,15
336,MGLU3,LSTM,72.2,3,3,1d,15
337,MGLU3,BidirectionalLSTM,6.0,3,3,1d,15
338,MGLU3,convLSTM1D,4.1,3,3,1d,15
339,MGLU3,convLSTM2D,6.2,3,3,1d,15
340,MILS3,LSTM,15.2,3,3,1d,15
341,MILS3,BidirectionalLSTM,18.6,3,3,1d,15
342,MILS3,convLSTM1D,9.7,3,3,1d,15
343,MILS3,convLSTM2D,20.3,3,3,1d,15
344,MRFG3,LSTM,22.0,3,3,1d,15
345,MRFG3,BidirectionalLSTM,7.8,3,3,1d,15
346,MRFG3,convLSTM1D,14.0,3,3,1d,15
347,MRFG3,convLSTM2D,16.7,3,3,1d,15
348,MRVE3,LSTM,5.1,3,3,1d,15
349,MRVE3,BidirectionalLSTM,7.4,3,3,1d,15
350,MRVE3,convLSTM1D,8.3,3,3,1d,15
351,MRVE3,convLSTM2D,13.3,3,3,1d,15
352,MULT3,LSTM,9.2,3,3,1d,15
353,MULT3,BidirectionalLSTM,17.2,3,3,1d,15
354,MULT3,convLSTM1D,7.7,3,3,1d,15
355,MULT3,convLSTM2D,10.7,3,3,1d,15
356,MYPK3,LSTM,10.6,3,3,1d,15
357,MYPK3,BidirectionalLSTM,30.7,3,3,1d,15
358,MYPK3,convLSTM1D,34.2,3,3,1d,15
359,MYPK3,convLSTM2D,32.4,3,3,1d,15
360,NEOE3,LSTM,29.3,3,3,1d,15
361,NEOE3,BidirectionalLSTM,18.2,3,3,1d,15
