,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
174,EGIE3,convLSTM1D,31.54877408801736,4,21,5,1d,1
175,EGIE3,convLSTM2D,0.0,0,21,5,1d,1
176,ELET3,LSTM,0.0,0,21,5,1d,1
177,ELET3,BidirectionalLSTM,0.0,0,21,5,1d,1
178,ELET3,convLSTM1D,0.0,0,21,5,1d,1
179,ELET3,convLSTM2D,0.0,0,21,5,1d,1
180,ELET3,LSTM,0.0,0,21,5,1d,1
181,ELET3,BidirectionalLSTM,0.0,0,21,5,1d,1
182,ELET3,convLSTM1D,0.0,0,21,5,1d,1
183,ELET3,convLSTM2D,0.0,0,21,5,1d,1
184,EMBR3,LSTM,98.07783582817913,1,21,5,1d,1
185,EMBR3,BidirectionalLSTM,0.0,0,21,5,1d,1
186,EMBR3,convLSTM1D,89.4601024602302,4,21,5,1d,1
187,EMBR3,convLSTM2D,115.32625127654559,2,21,5,1d,1
188,ENAT3,LSTM,0.0,0,21,5,1d,1
189,ENAT3,BidirectionalLSTM,0.0,0,21,5,1d,1
190,ENAT3,convLSTM1D,19.739491276303006,0,21,5,1d,1
191,ENAT3,convLSTM2D,0.0,0,21,5,1d,1
192,ENBR3,LSTM,0.0,0,21,5,1d,1
193,ENBR3,BidirectionalLSTM,8.289864384898278,2,21,5,1d,1
194,ENBR3,convLSTM1D,0.0,0,21,5,1d,1
195,ENBR3,convLSTM2D,0.0,0,21,5,1d,1
196,ENGI3,LSTM,0.0,0,21,5,1d,1
197,ENGI3,BidirectionalLSTM,12.097073404192079,4,21,5,1d,1
198,ENGI3,convLSTM1D,0.0,0,21,5,1d,1
199,ENGI3,convLSTM2D,0.0,0,21,5,1d,1
200,EVEN3,LSTM,2.7930978335529932,0,21,5,1d,1
201,EVEN3,BidirectionalLSTM,15.487079297203616,0,21,5,1d,1
202,EVEN3,convLSTM1D,3.8808680011565433,2,21,5,1d,1
203,EVEN3,convLSTM2D,3.8834204946655833,3,21,5,1d,1
204,EQTL3,LSTM,13.730852030054267,0,21,5,1d,1
205,EQTL3,BidirectionalLSTM,16.068678720455758,0,21,5,1d,1
206,EQTL3,convLSTM1D,8.684715745644803,1,21,5,1d,1
207,EQTL3,convLSTM2D,0.955653640459162,2,21,5,1d,1
